,atr_OFF,atr_ON,delta
total_return,6.38370418557439,1.945497386579298,-4.438206798995092
cagr,0.9029807777434007,0.2802895968188279,-0.6226911809245728
sharpe_ratio,-1.9964152023176531,-11.36963565794555,-9.373220455627896
sortino_ratio,-3.839727801403146,-25.148405975082735,-21.30867817367959
max_drawdown,-1.1389661096190389,-0.2759829229954505,0.8629831866235884
calmar_ratio,0.7928074155300631,1.015604856186875,0.22279744065681184
win_rate,65.11627906976744,77.77777777777779,12.661498708010342
profit_factor,2.7088701901527483,11.897740340562951,9.188870150410203
total_trades,43.0,9.0,-34.0
avg_holding_days,10.418604651162791,13.88888888888889,3.470284237726098
