label,total_return,cagr,sharpe_ratio,max_drawdown,total_trades,n_days,final_equity
buy_hold_KODEX200,312.679135395857,22.776678985762878,0.3956700711803187,-37.69315099088301,1,1727,41267913
long_only,186.90167774991,16.482666530113434,0.32485316276119,-38.67820163092176,349,1727,28690167
long_short,118.83329192141478,12.004304199030912,0.284209901460909,-50.82989325320568,613,1727,21883329
